"Carimbo de data/hora","Faculdade","Esporte","Transporte"
"2026/05/20 6:31:08 PM GMT-3","UFPE","Vôlei","Transporte público"
"2026/05/20 6:33:25 PM GMT-3","UFPE","Vôlei","Transporte público"
"2026/05/20 6:35:24 PM GMT-3","CESAR School","Corrida ","Carro"
"2026/05/20 6:35:31 PM GMT-3","CESAR School","Artes Marciais","Carro"
"2026/05/20 6:35:48 PM GMT-3","CESAR School","Automobilismo","Bicicleta"
"2026/05/20 6:36:26 PM GMT-3","CESAR School","Futebol","Carro"
"2026/05/20 6:37:29 PM GMT-3","UPE","Futebol","Transporte público"
"2026/05/20 6:38:42 PM GMT-3","UPE","Futebol","Transporte público"
"2026/05/20 6:41:12 PM GMT-3","CESAR School","Vôlei","Moto"
"2026/05/20 6:44:48 PM GMT-3","UFPE","Vôlei","Transporte público"
"2026/05/20 6:45:31 PM GMT-3","CESAR School","Futebol","Transporte público"
"2026/05/20 6:45:50 PM GMT-3","CESAR School","Futebol","Táxi / Transporte de aplicativo"
"2026/05/20 6:46:32 PM GMT-3","CESAR School","Futebol","Táxi / Transporte de aplicativo"
"2026/05/20 6:48:49 PM GMT-3","CESAR School","Futebol","Transporte público"
"Fora do formulário", "CESAR School", "Futebol", "Transporte público"
"Fora do formulário", "CESAR School", "Futebol", "Transporte público"
"Fora do formulário", "CESAR School", "Futebol", "Carro"
"Fora do formulário", "CESAR School", "Vôlei", "Carro"
"Fora do formulário", "CESAR School", "Vôlei", "Transporte público"
"Fora do formulário", "CESAR School", "Artes Marciais", "Carro"
"Fora do formulário", "CESAR School", "Artes Marciais", "Transporte público"
"Fora do formulário", "CESAR School", "Ping-pong", "Carro"
"2026/05/20 6:54:45 PM GMT-3","SENAC","Futebol","Transporte público"
"2026/05/20 6:59:31 PM GMT-3","CESAR School","Basquete","Carro"
"2026/05/20 7:00:10 PM GMT-3","SENAC","Futebol","Transporte público"
"2026/05/20 7:10:17 PM GMT-3","CESAR School","Futebol","Carro"
"2026/05/20 7:10:22 PM GMT-3","UFPE","Futebol","Carro"
"2026/05/20 7:11:25 PM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/20 7:11:26 PM GMT-3","UFPE","Nenhum ","Transporte público"
"2026/05/20 7:12:28 PM GMT-3","UFPE","Automobilismo","Transporte público"
"2026/05/20 7:13:58 PM GMT-3","UFPE","Automobilismo","Transporte público"
"2026/05/20 7:15:00 PM GMT-3","UFPE","Futebol","Carro"
"2026/05/20 7:15:03 PM GMT-3","UFPE","Futebol","Táxi / Transporte de aplicativo"
"2026/05/20 7:16:40 PM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/20 7:18:57 PM GMT-3","UFPE","Vôlei","Moto "
"2026/05/20 7:19:27 PM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/20 7:32:31 PM GMT-3","CESAR School","Futebol","Carro"
"2026/05/20 7:33:00 PM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/20 7:33:22 PM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/20 7:42:33 PM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/20 7:43:35 PM GMT-3","UFPE","Vôlei","Transporte público"
"2026/05/20 7:44:16 PM GMT-3","UFPE","E-Sports","Transporte público"
"2026/05/20 7:50:39 PM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/20 7:55:54 PM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/20 8:04:18 PM GMT-3","UFPE","Vôlei","Transporte público"
"2026/05/20 8:06:29 PM GMT-3","UFPE","Futebol","Carro"
"2026/05/20 8:15:32 PM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/20 8:40:13 PM GMT-3","UFPE","Vôlei","Transporte público"
"2026/05/20 8:42:24 PM GMT-3","CESAR School","E-Sports","Moto"
"2026/05/20 8:45:16 PM GMT-3","UFPE","Automobilismo","Transporte público"
